file	title	source	site	artist	category	page_title
凤凰木_吉他_—.txt	凤凰木 吉他 —	jianpucn-252071	jianpucn	孟庭苇		凤凰木 吉他 — 孟庭苇 歌谱简谱网
塔克拉玛干的胡扬.txt	塔克拉玛干的胡扬	jianpucn-252174	jianpucn	王宏伟		塔克拉玛干的胡扬 王宏伟 歌谱简谱网
千年的新.txt	千年的新	jianpucn-252244	jianpucn	孟庭苇		千年的新 孟庭苇 歌谱简谱网
西海情歌.txt	西海情歌	jianpucn-252910	jianpucn	降央卓玛		西海情歌 降央卓玛 歌谱简谱网
伤心的人别听慢歌.txt	伤心的人别听慢歌	jianpucn-253033	jianpucn	五月天		伤心的人别听慢歌 五月天 歌谱简谱网
我把青春献森林_—.txt	我把青春献森林 —	jianpucn-253548	jianpucn	蒋大为		我把青春献森林 — （扫描版） 蒋大为 歌谱简谱网
心甘情愿.txt	心甘情愿	jianpucn-253676	jianpucn	阎维文		心甘情愿（） 阎维文 歌谱简谱网
大地真美.txt	大地真美	jianpucn-253693	jianpucn	蒋大为		大地真美 蒋大为 歌谱简谱网
橄榄树_2.txt	橄榄树	jianpucn-254144	jianpucn	修正版 齐豫		橄榄树-修正版 齐豫 歌谱简谱网
心里是花园.txt	心里是花园	jianpucn-254875	jianpucn	孟庭苇		心里是花园 孟庭苇 歌谱简谱网
蓝蓝的一片海.txt	蓝蓝的一片海	jianpucn-255421	jianpucn	宋祖英		蓝蓝的一片海 宋祖英 歌谱简谱网
DFP.txt	DFP	jianpucn-256294	jianpucn	周杰伦		DFP(再来一次) 周杰伦 歌谱简谱网
妈妈_祝你长寿.txt	妈妈 祝你长寿	jianpucn-256365	jianpucn	阎维文		妈妈 祝你长寿 阎维文 歌谱简谱网
骨肉情.txt	骨肉情	jianpucn-256707	jianpucn	阎维文		骨肉情 阎维文 歌谱简谱网
成州颂.txt	成州颂	jianpucn-256973	jianpucn	蒋大为		成州颂 蒋大为 歌谱简谱网
塞纳河——.txt	塞纳河——	jianpucn-256979	jianpucn	邓紫棋		塞纳河—— 邓紫棋 歌谱简谱网
母亲双手.txt	母亲双手	jianpucn-257585	jianpucn	殷秀梅		母亲双手 殷秀梅 歌谱简谱网
晨.txt	晨	jianpucn-257913	jianpucn	费玉清		晨 费玉清 歌谱简谱网
谁_4.txt	谁	jianpucn-257959	jianpucn	谢雨欣		谁（《将爱情进行到底》电视原声） 谢雨欣 歌谱简谱网
谁_5.txt	谁	jianpucn-257980	jianpucn	谢雨欣		谁（电视剧《将爱情进行到底》插曲） 谢雨欣 歌谱简谱网
谁主沉浮.txt	谁主沉浮	jianpucn-258056	jianpucn	同名电影插曲 韩磊		谁主沉浮 同名电影插曲 韩磊 歌谱简谱网
谁主沉浮_2.txt	谁主沉浮	jianpucn-258119	jianpucn	韩磊		谁主沉浮（电影《谁主沉浮》插曲） — 韩磊 歌谱简谱网
梦想.txt	梦想	jianpucn-258144	jianpucn	韩磊		梦想 韩磊 歌谱简谱网
生活啊_多么美好.txt	生活啊 多么美好	jianpucn-258174	jianpucn	殷秀梅		生活啊 多么美好 殷秀梅 歌谱简谱网
不许他回家.txt	不许他回家	jianpucn-258314	jianpucn	费玉清		不许他回家 费玉清 歌谱简谱网
梦园中国.txt	梦园中国	jianpucn-258781	jianpucn	张也		梦园中国 张也 歌谱简谱网
梦圆中国.txt	梦圆中国	jianpucn-258877	jianpucn	张也		梦圆中国 张也 歌谱简谱网
窑变_2.txt	窑变	jianpucn-259151	jianpucn	宋祖英		窑变（电视剧《大河儿女》主题曲） 宋祖英 歌谱简谱网
日月潭风光.txt	日月潭风光	jianpucn-259887	jianpucn	费玉清		日月潭风光 费玉清 歌谱简谱网
好人就能当好家.txt	好人就能当好家	jianpucn-259899	jianpucn	王宏伟		好人就能当好家 王宏伟 歌谱简谱网
梦里山河_—.txt	梦里山河 —	jianpucn-260044	jianpucn	费玉清		梦里山河 — 费玉清 歌谱简谱网
拉萨雄鹰.txt	拉萨雄鹰	jianpucn-260111	jianpucn	凤凰传奇		拉萨雄鹰 凤凰传奇 歌谱简谱网
木鱼与金鱼.txt	木鱼与金鱼	jianpucn-260281	jianpucn	刘德华		木鱼与金鱼 刘德华 歌谱简谱网
当我遇到你.txt	当我遇到你	jianpucn-260283	jianpucn	刘德华		当我遇到你 刘德华 歌谱简谱网
高岗上.txt	高岗上	jianpucn-260568	jianpucn	费玉清		高岗上 费玉清 歌谱简谱网
莲花魂.txt	莲花魂	jianpucn-260583	jianpucn	张也		莲花魂 张也 歌谱简谱网
版_《卖布谣》.txt	版 《卖布谣》	jianpucn-260700	jianpucn	李谷一		版 《卖布谣》（刘大白 词 赵元任 曲） 李谷一 歌谱简谱网
我的梦中国梦.txt	我的梦中国梦	jianpucn-260800	jianpucn	阎维文		我的梦中国梦 阎维文 歌谱简谱网
大野英豪.txt	大野英豪	jianpucn-260866	jianpucn	费玉清		大野英豪 费玉清 歌谱简谱网
窑变.txt	窑变	jianpucn-261011	jianpucn	宋祖英		窑变- （电视剧《大和儿女》主题曲 ） 宋祖英 歌谱简谱网
上林春色十分红.txt	上林春色十分红	jianpucn-261082	jianpucn	杨洪基		上林春色十分红 杨洪基 歌谱简谱网
上林_十分红.txt	上林 十分红	jianpucn-261176	jianpucn	杨洪基		上林 十分红 杨洪基 歌谱简谱网
赞美你_骆驼.txt	赞美你 骆驼	jianpucn-261531	jianpucn	杨洪基		赞美你 骆驼（杨煜曲） 杨洪基 歌谱简谱网
苍狼大地.txt	苍狼大地	jianpucn-261717	jianpucn	腾格尔		苍狼大地 腾格尔 歌谱简谱网
吉祥敖特尔.txt	吉祥敖特尔	jianpucn-261987	jianpucn	阎维文		吉祥敖特尔 阎维文 歌谱简谱网
一起为祖国.txt	一起为祖国	jianpucn-261990	jianpucn	阎维文		一起为祖国 阎维文 歌谱简谱网
送我一枝玫瑰花.txt	送我一枝玫瑰花	jianpucn-262899	jianpucn	李谷一		送我一枝玫瑰花（葛顺中编曲） 李谷一 歌谱简谱网
五和中国.txt	五和中国	jianpucn-263041	jianpucn	阎维文		五和中国 阎维文 歌谱简谱网
好郎好姐不用媒_—.txt	好郎好姐不用媒 —	jianpucn-263044	jianpucn	阎维文		好郎好姐不用媒 — （湖南民歌） 阎维文 歌谱简谱网
Amammani.txt	Amammani	jianpucn-263414	jianpucn	BEYOND		Amammani BEYOND 歌谱简谱网
西部恍惚.txt	西部恍惚	jianpucn-263751	jianpucn	刘欢		西部恍惚 刘欢 歌谱简谱网
赤水河纤夫曲.txt	赤水河纤夫曲	jianpucn-263990	jianpucn	阎维文		赤水河纤夫曲 阎维文 歌谱简谱网
风柜来的人.txt	风柜来的人	jianpucn-264854	jianpucn	李宗盛		风柜来的人 李宗盛 歌谱简谱网
回来吧好吗.txt	回来吧好吗	jianpucn-264859	jianpucn	刘德华		回来吧好吗 刘德华 歌谱简谱网
溜溜的情歌其他.txt	溜溜的情歌其他	jianpucn-264892	jianpucn	凤凰传奇		溜溜的情歌其他 凤凰传奇 歌谱简谱网
陪我在今宵.txt	陪我在今宵	jianpucn-264949	jianpucn	邓丽君		陪我在今宵 邓丽君 歌谱简谱网
牧羊的女孩.txt	牧羊的女孩	jianpucn-265002	jianpucn	凤凰传奇		牧羊的女孩 凤凰传奇 歌谱简谱网
来生缘4.txt	来生缘4	jianpucn-265519	jianpucn	刘德华		来生缘4 刘德华 歌谱简谱网
