source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
qupu123-333890	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p333890.html	https://www.qupu123.com/minge/sizi/p333890.html	中国士兵 （王文福词 张新用曲）_民歌曲谱_中国曲谱网	中国士兵
jianpucn-236257	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/23/236257.htm	http://www.jianpu.cn/pu/23/236257.htm	中国开起了顺风 张也 歌谱简谱网	中国开起了顺风
qupu123-319901	qupu123	ok(曲名命中)	200		https://www.qupu123.com/shaoer/qizi/p319901.html	https://www.qupu123.com/shaoer/qizi/p319901.html	中国妹妹爱书法 _少儿曲谱_中国曲谱网	中国妹妹爱书法
jianpucn-437729	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/437729.htm	http://www.jianpu.cn/pu/43/437729.htm	中国忘不了你 王宏伟 歌谱简谱网	中国忘不了你
qupu123-332991	qupu123	ok(曲名命中)	200		https://www.qupu123.com/shaoer/sanzi/p332991.html	https://www.qupu123.com/shaoer/sanzi/p332991.html	中国娃 （李艳华词 陈元绍曲）_少儿曲谱_中国曲谱网	中国娃
jianpucn-125400	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/12/125400.htm	http://www.jianpu.cn/pu/12/125400.htm	中国我爱你 歌谱简谱网	中国我爱你
qupu123-333203	qupu123	打不开:URLError	0		https://www.qupu123.com/minge/wuzi/p333203.html	https://www.qupu123.com/minge/wuzi/p333203.html		东风告诉你
qupu123-328290	qupu123	ok(曲名命中)	200		https://www.qupu123.com/shaoer/jiuziyishang/p328290.html	https://www.qupu123.com/shaoer/jiuziyishang/p328290.html	中国少年儿童队队歌 _少儿曲谱_中国曲谱网	中国少年儿童队队歌
jianpucn-127938	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/12/127938.htm	http://www.jianpu.cn/pu/12/127938.htm	中国无穷 歌谱简谱网	中国无穷
qupu123-320485	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/qizi/p320485.html	https://www.qupu123.com/hechang/qizi/p320485.html	中国放飞的希望 _合唱曲谱_中国曲谱网	中国放飞的希望
jianpucn-151099	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/151099.htm	http://www.jianpu.cn/pu/15/151099.htm	中国是我们每一个 歌谱简谱网	中国是我们每一个
qupu123-370105	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/wuzi/p370105.html	https://www.qupu123.com/hechang/wuzi/p370105.html	中国新时代 （合唱）_交流原创曲谱专栏_中国曲谱网	中国新时代
jianpucn-287473	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/28/287473.htm	http://www.jianpu.cn/pu/28/287473.htm	中国梦 少年强 蒋大为 歌谱简谱网	中国梦 少年强
jianpucn-284720	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/28/284720.htm	http://www.jianpu.cn/pu/28/284720.htm	中国梦 引领未来 阎维文 歌谱简谱网	中国梦 引领未来
qupu123-370206	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/wuzi/p370206.html	https://www.qupu123.com/hechang/wuzi/p370206.html	中国朝前走 （合唱）_交流原创曲谱专栏_中国曲谱网	中国朝前走
jianpucn-166971	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/16/166971.htm	http://www.jianpu.cn/pu/16/166971.htm	中国梦想 歌谱简谱网	中国梦想
jianpucn-415713	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/41/415713.htm	http://www.jianpu.cn/pu/41/415713.htm	中国的希望合唱谱 张也 歌谱简谱网	中国的希望合唱谱
jianpucn-89407	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/89/89407.htm	http://www.jianpu.cn/pu/89/89407.htm	中国的年 歌谱简谱网	中国的年
jianpucn-33546	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/33/33546.htm	http://www.jianpu.cn/pu/33/33546.htm	中国的春天 歌谱简谱网	中国的春天
jianpucn-210709	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/21/210709.htm	http://www.jianpu.cn/pu/21/210709.htm	中国盛典 歌谱简谱网	中国盛典
jianpucn-407800	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/40/407800.htm	http://www.jianpu.cn/pu/40/407800.htm	中国禧福祥 王宏伟 歌谱简谱网	中国禧福祥
qupu123-317914	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/jiuziyishang/p317914.html	https://www.qupu123.com/hechang/jiuziyishang/p317914.html	中国永远收获着希望 _合唱曲谱_中国曲谱网	中国永远收获着希望
jianpucn-34537	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/34/34537.htm	http://www.jianpu.cn/pu/34/34537.htm	中国结 歌谱简谱网	中国结
jianpucn-39157	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/39/39157.htm	http://www.jianpu.cn/pu/39/39157.htm	中国警察 歌谱简谱网	中国警察
qupu123-313837	qupu123	ok(曲名命中)	200		https://www.qupu123.com/meisheng/wuzi/p313837.html	https://www.qupu123.com/meisheng/wuzi/p313837.html	​3中国的笑容（双谱） _美声曲谱_中国曲谱网	中国的笑容
jianpucn-149051	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/14/149051.htm	http://www.jianpu.cn/pu/14/149051.htm	中国速度 歌谱简谱网	中国速度
jianpucn-55845	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/55/55845.htm	http://www.jianpu.cn/pu/55/55845.htm	中国鼓 歌谱简谱网	中国鼓
jianpucn-475610	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/47/475610.htm	http://www.jianpu.cn/pu/47/475610.htm	中秋情 邹希梅 歌谱简谱网	中秋情
qupu123-335034	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/qizi/p335034.html	https://www.qupu123.com/minge/qizi/p335034.html	中国竹乡安吉美 _民歌曲谱_中国曲谱网	中国竹乡安吉美
jianpucn-475381	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/47/475381.htm	http://www.jianpu.cn/pu/47/475381.htm	丰收中国年（混声合唱） 朱 海 词 子 山 曲 弦声编配 歌谱简谱网	丰收中国年
