dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
忘记他 （ C调指法原版编配）__jianpucn-458622	images-prep/jianpucn-denglijun/忘记他 （ C调指法原版编配）__jianpucn-458622	jianpucn-458622	0	51	6	
我只在乎你 键盘类 钢琴__jianpucn-114502	images-prep/jianpucn-denglijun/我只在乎你 键盘类 钢琴__jianpucn-114502	jianpucn-114502	0	177	5	
我只在乎你（中音萨克斯 ）__jianpucn-424551	images-prep/jianpucn-denglijun/我只在乎你（中音萨克斯 ）__jianpucn-424551	jianpucn-424551	0	59	5	
月亮代表我的心( 编配 )__jianpucn-440743	images-prep/jianpucn-denglijun/月亮代表我的心( 编配 )__jianpucn-440743	jianpucn-440743	0	59	6	
月亮代表我的心-弹唱版__jianpucn-102836	images-prep/jianpucn-denglijun/月亮代表我的心-弹唱版__jianpucn-102836	jianpucn-102836	0	145	5	
月亮代表我的心独吉他奏谱__jianpucn-205583	images-prep/jianpucn-denglijun/月亮代表我的心独吉他奏谱__jianpucn-205583	jianpucn-205583	0	76	6	
月亮代表我的心独奏__jianpucn-213056	images-prep/jianpucn-denglijun/月亮代表我的心独奏__jianpucn-213056	jianpucn-213056	0	480	32	
月亮代表我的心独奏版__jianpucn-212730	images-prep/jianpucn-denglijun/月亮代表我的心独奏版__jianpucn-212730	jianpucn-212730	0	29	6	
漫步人生路指弹 （ 独奏 ）__jianpucn-462531	images-prep/jianpucn-denglijun/漫步人生路指弹 （ 独奏 ）__jianpucn-462531	jianpucn-462531	0	17	6	
爱的箴言--邓丽君（萨克斯谱）__jianpucn-205687	images-prep/jianpucn-denglijun/爱的箴言--邓丽君（萨克斯谱）__jianpucn-205687	jianpucn-205687	0	12	5	
独奏_阿里山的姑娘.__jianpucn-205678	images-prep/jianpucn-denglijun/独奏_阿里山的姑娘.__jianpucn-205678	jianpucn-205678	0	7	6	
甜蜜蜜-jila编配版__jianpucn-175969	images-prep/jianpucn-denglijun/甜蜜蜜-jila编配版__jianpucn-175969	jianpucn-175969	0	63	6	
甜蜜蜜尤克里里谱（ 简单版四 ）__jianpucn-458483	images-prep/jianpucn-denglijun/甜蜜蜜尤克里里谱（ 简单版四 ）__jianpucn-458483	jianpucn-458483	0	19	4	
甜蜜蜜（晓涛吉他编配版）__jianpucn-295577	images-prep/jianpucn-denglijun/甜蜜蜜（晓涛吉他编配版）__jianpucn-295577	jianpucn-295577	0	46	6	
阳里山的姑娘（线简混排弹唱谱）__jianpucn-205486	images-prep/jianpucn-denglijun/阳里山的姑娘（线简混排弹唱谱）__jianpucn-205486	jianpucn-205486	0	6	4	
雪地上的回忆（台湾伴奏版）__jianpucn-433078	images-prep/jianpucn-denglijun/雪地上的回忆（台湾伴奏版）__jianpucn-433078	jianpucn-433078	0	101	5	
A I N Y (Am)双吉他版 各种格式__jianpucn-250865	images-prep/jianpucn-dengziqi/A I N Y (Am)双吉他版 各种格式__jianpucn-250865	jianpucn-250865	0	12	6	
A I N Y （演唱会钢琴版）__jianpucn-258036	images-prep/jianpucn-dengziqi/A I N Y （演唱会钢琴版）__jianpucn-258036	jianpucn-258036	0	89	5	
《光年之外》 C调简单版（ 吉他教学）__jianpucn-427829	images-prep/jianpucn-dengziqi/《光年之外》 C调简单版（ 吉他教学）__jianpucn-427829	jianpucn-427829	0	52	6	
《光年之外》 C调精华版 G E M 高音教编配__jianpucn-424271	images-prep/jianpucn-dengziqi/《光年之外》 C调精华版 G E M 高音教编配__jianpucn-424271	jianpucn-424271	0	41	6	
《光年之外》 G调入门版 高音教编配__jianpucn-424631	images-prep/jianpucn-dengziqi/《光年之外》 G调入门版 高音教编配__jianpucn-424631	jianpucn-424631	0	47	6	
《光年之外》 G调指法中级版（ 吉他教学）__jianpucn-427830	images-prep/jianpucn-dengziqi/《光年之外》 G调指法中级版（ 吉他教学）__jianpucn-427830	jianpucn-427830	0	64	6	
《后会无期》 简单版 吉他弹唱教学__jianpucn-434870	images-prep/jianpucn-dengziqi/《后会无期》 简单版 吉他弹唱教学__jianpucn-434870	jianpucn-434870	0	64	6	
《存在》弹唱华丽精编版__jianpucn-245695	images-prep/jianpucn-dengziqi/《存在》弹唱华丽精编版__jianpucn-245695	jianpucn-245695	0	133	5	
《我要我们在一起》钢琴伴奏谱__jianpucn-248494	images-prep/jianpucn-dengziqi/《我要我们在一起》钢琴伴奏谱__jianpucn-248494	jianpucn-248494	0	87	5	
倒数 （ C调指法原版编配）__jianpucn-466732	images-prep/jianpucn-dengziqi/倒数 （ C调指法原版编配）__jianpucn-466732	jianpucn-466732	0	35	6	
偶尔 钢琴伴奏谱__jianpucn-292951	images-prep/jianpucn-dengziqi/偶尔 钢琴伴奏谱__jianpucn-292951	jianpucn-292951	0	150	5	
写不完的温柔 （ C调原版编配）__jianpucn-468814	images-prep/jianpucn-dengziqi/写不完的温柔 （ C调原版编配）__jianpucn-468814	jianpucn-468814	0	24	7	
后会无期 （ C调指法原版编配）__jianpucn-469838	images-prep/jianpucn-dengziqi/后会无期 （ C调指法原版编配）__jianpucn-469838	jianpucn-469838	0	60	6	
后会无期 （ G调指法编配）__jianpucn-468692	images-prep/jianpucn-dengziqi/后会无期 （ G调指法编配）__jianpucn-468692	jianpucn-468692	0	37	6	
后会无期 （吉他）__jianpucn-265659	images-prep/jianpucn-dengziqi/后会无期 （吉他）__jianpucn-265659	jianpucn-265659	0	7	6	
后会无期（吉他弹唱谱）__jianpucn-286380	images-prep/jianpucn-dengziqi/后会无期（吉他弹唱谱）__jianpucn-286380	jianpucn-286380	0	130	8	
喜欢你 （ C调原版编配）__jianpucn-466138	images-prep/jianpucn-dengziqi/喜欢你 （ C调原版编配）__jianpucn-466138	jianpucn-466138	0	58	6	
回忆的沙漏（弹唱版）- -__jianpucn-255999	images-prep/jianpucn-dengziqi/回忆的沙漏（弹唱版）- -__jianpucn-255999	jianpucn-255999	0	836	4	
多远都要在一起 （钢琴伴奏谱）__jianpucn-292829	images-prep/jianpucn-dengziqi/多远都要在一起 （钢琴伴奏谱）__jianpucn-292829	jianpucn-292829	0	674	6	
岩石里的花( G调 高清弹唱谱)__jianpucn-445001	images-prep/jianpucn-dengziqi/岩石里的花( G调 高清弹唱谱)__jianpucn-445001	jianpucn-445001	0	55	6	
我的秘密 （ C调原版编配）__jianpucn-465977	images-prep/jianpucn-dengziqi/我的秘密 （ C调原版编配）__jianpucn-465977	jianpucn-465977	0	35	6	
我的秘密（弹唱版）- -__jianpucn-253876	images-prep/jianpucn-dengziqi/我的秘密（弹唱版）- -__jianpucn-253876	jianpucn-253876	0	724	4	
攀登 （ C调指法简单版）__jianpucn-462817	images-prep/jianpucn-dengziqi/攀登 （ C调指法简单版）__jianpucn-462817	jianpucn-462817	0	40	6	
桃花诺 （ C调指法原版编配）__jianpucn-458125	images-prep/jianpucn-dengziqi/桃花诺 （ C调指法原版编配）__jianpucn-458125	jianpucn-458125	0	54	6	
泡沫 吉他指弹谱 —__jianpucn-256302	images-prep/jianpucn-dengziqi/泡沫 吉他指弹谱 —__jianpucn-256302	jianpucn-256302	0	69	6	
泡沫 钢琴伴奏谱 — （男声调降B调）__jianpucn-252720	images-prep/jianpucn-dengziqi/泡沫 钢琴伴奏谱 — （男声调降B调）__jianpucn-252720	jianpucn-252720	0	49	5	
泡沫 钢琴独奏谱 — （F调）__jianpucn-252721	images-prep/jianpucn-dengziqi/泡沫 钢琴独奏谱 — （F调）__jianpucn-252721	jianpucn-252721	0	44	5	
泡沫 （ C调原版编配）__jianpucn-463593	images-prep/jianpucn-dengziqi/泡沫 （ C调原版编配）__jianpucn-463593	jianpucn-463593	0	60	6	
泡沫 （ C调指法原版编配）__jianpucn-458886	images-prep/jianpucn-dengziqi/泡沫 （ C调指法原版编配）__jianpucn-458886	jianpucn-458886	0	72	6	
画 （C调指法原版编配）__jianpucn-461968	images-prep/jianpucn-dengziqi/画 （C调指法原版编配）__jianpucn-461968	jianpucn-461968	0	43	6	
画( 编配 )__jianpucn-436501	images-prep/jianpucn-dengziqi/画( 编配 )__jianpucn-436501	jianpucn-436501	0	70	6	
一剪梅 （ G调原版编配）__jianpucn-457810	images-prep/jianpucn-feiyuqing/一剪梅 （ G调原版编配）__jianpucn-457810	jianpucn-457810	0	53	6	
一剪梅 （ G调指法原版编配）__jianpucn-467311	images-prep/jianpucn-feiyuqing/一剪梅 （ G调指法原版编配）__jianpucn-467311	jianpucn-467311	0	44	6	
南屏晚钟合唱伴奏版__jianpucn-184884	images-prep/jianpucn-feiyuqing/南屏晚钟合唱伴奏版__jianpucn-184884	jianpucn-184884	0	90	5	
在水一方（心动吉他编配版）__jianpucn-282196	images-prep/jianpucn-feiyuqing/在水一方（心动吉他编配版）__jianpucn-282196	jianpucn-282196	0	94	6	
长发的女郎 弹唱版__jianpucn-213516	images-prep/jianpucn-feiyuqing/长发的女郎 弹唱版__jianpucn-213516	jianpucn-213516	0	122	5	
开门大吉 五线谱— （央视《开门大吉》主题曲）__jianpucn-226402	images-prep/jianpucn-fenghuangchuanqi/开门大吉 五线谱— （央视《开门大吉》主题曲）__jianpucn-226402	jianpucn-226402	0	116	5	
最炫民族风（蓝调版） 五线谱—__jianpucn-226902	images-prep/jianpucn-fenghuangchuanqi/最炫民族风（蓝调版） 五线谱—__jianpucn-226902	jianpucn-226902	0	142	5	
荷塘月色 钢伴弹唱__jianpucn-224140	images-prep/jianpucn-fenghuangchuanqi/荷塘月色 钢伴弹唱__jianpucn-224140	jianpucn-224140	0	102	5	
荷塘月色——弹唱完美版__jianpucn-183062	images-prep/jianpucn-fenghuangchuanqi/荷塘月色——弹唱完美版__jianpucn-183062	jianpucn-183062	0	151	5	
《莫尼山》钢琴伴奏谱__jianpucn-306637	images-prep/jianpucn-hanhong/《莫尼山》钢琴伴奏谱__jianpucn-306637	jianpucn-306637	0	97	5	
众里寻你 钢琴伴奏__jianpucn-222894	images-prep/jianpucn-hanhong/众里寻你 钢琴伴奏__jianpucn-222894	jianpucn-222894	0	82	5	
天亮了 （F调单把吉他版）__jianpucn-280374	images-prep/jianpucn-hanhong/天亮了 （F调单把吉他版）__jianpucn-280374	jianpucn-280374	0	57	6	
天路(五线谱_简谱对照)__jianpucn-51938	images-prep/jianpucn-hanhong/天路(五线谱_简谱对照)__jianpucn-51938	jianpucn-51938	0	68	5	
天路(五线谱_简谱对照)__jianpucn-52614	images-prep/jianpucn-hanhong/天路(五线谱_简谱对照)__jianpucn-52614	jianpucn-52614	0	68	5	
天路独奏__jianpucn-170882	images-prep/jianpucn-hanhong/天路独奏__jianpucn-170882	jianpucn-170882	0	4	5	
家乡（ 词曲、梦短弦音编配版）__jianpucn-270929	images-prep/jianpucn-hanhong/家乡（ 词曲、梦短弦音编配版）__jianpucn-270929	jianpucn-270929	0	61	6	
祖国不会忘记 （ C调原版编配）__jianpucn-457423	images-prep/jianpucn-hanhong/祖国不会忘记 （ C调原版编配）__jianpucn-457423	jianpucn-457423	0	47	6	
向阳而生 （ C调指法编配）__jianpucn-471999	images-prep/jianpucn-huachenyu/向阳而生 （ C调指法编配）__jianpucn-471999	jianpucn-471999	0	76	10	
好想爱这个世界啊 （ C调指法）__jianpucn-470150	images-prep/jianpucn-huachenyu/好想爱这个世界啊 （ C调指法）__jianpucn-470150	jianpucn-470150	0	6	5	
好想爱这个世界啊( C调弹唱)__jianpucn-444519	images-prep/jianpucn-huachenyu/好想爱这个世界啊( C调弹唱)__jianpucn-444519	jianpucn-444519	0	35	6	
我管你( G调弹唱谱 编配)__jianpucn-444893	images-prep/jianpucn-huachenyu/我管你( G调弹唱谱 编配)__jianpucn-444893	jianpucn-444893	0	40	6	
烟火里的尘埃( 编配)__jianpucn-437375	images-prep/jianpucn-huachenyu/烟火里的尘埃( 编配)__jianpucn-437375	jianpucn-437375	0	73	6	
